,data size,granules number,relation type,ksi,accuracy
549,10000,50,e,0.9,0.3854
550,10000,50,e,0.95,0.6095
551,10000,50,g,0.05,0.8319
552,10000,50,g,0.1,0.6681
553,10000,50,g,0.15,0.6681
554,10000,50,g,0.2,0.6681
555,10000,50,g,0.25,0.4345
556,10000,50,g,0.3,0.5164
557,10000,50,g,0.35,0.584
558,10000,50,g,0.4,0.7478
559,10000,50,g,0.45,0.6845
560,10000,50,g,0.5,0.7478
561,10000,50,g,0.55,0.7478
562,10000,50,g,0.6,0.416
563,10000,50,g,0.65,0.416
564,10000,50,g,0.7,0.416
565,10000,50,g,0.75,0.416
566,10000,50,g,0.8,0.9159
567,10000,50,g,0.85,0.3966
568,10000,50,g,0.9,0.5552
569,10000,50,g,0.95,0.5403
570,10000,100,t,0.05,1.0
571,10000,100,t,0.1,1.0
572,10000,100,t,0.15,1.0
573,10000,100,t,0.2,1.0
574,10000,100,t,0.25,1.0
575,10000,100,t,0.3,1.0
576,10000,100,t,0.35,0.7692
577,10000,100,t,0.4,0.7692
578,10000,100,t,0.45,0.7692
579,10000,100,t,0.5,1.0
580,10000,100,t,0.55,1.0
581,10000,100,t,0.6,1.0
582,10000,100,t,0.65,1.0
583,10000,100,t,0.7,0.8033
584,10000,100,t,0.75,0.8033
585,10000,100,t,0.8,0.5004
586,10000,100,t,0.85,0.8033
587,10000,100,t,0.9,0.8033
588,10000,100,t,0.95,0.8033
589,10000,100,e,0.05,1.0
590,10000,100,e,0.1,1.0
591,10000,100,e,0.15,1.0
592,10000,100,e,0.2,1.0
593,10000,100,e,0.25,1.0
594,10000,100,e,0.3,1.0
595,10000,100,e,0.35,0.7692
596,10000,100,e,0.4,1.0
597,10000,100,e,0.45,1.0
598,10000,100,e,0.5,0.8033
599,10000,100,e,0.55,0.5004
600,10000,100,e,0.6,0.8033
601,10000,100,e,0.65,0.5725
602,10000,100,e,0.7,0.5725
603,10000,100,e,0.75,0.3413
604,10000,100,e,0.8,0.3479
605,10000,100,e,0.85,0.5673
606,10000,100,e,0.9,0.4709
607,10000,100,e,0.95,0.3685
608,10000,100,g,0.05,1.0
609,10000,100,g,0.1,0.7692
610,10000,100,g,0.15,1.0
611,10000,100,g,0.2,0.7692
612,10000,100,g,0.25,0.8033
613,10000,100,g,0.3,0.8033
614,10000,100,g,0.35,0.8033
615,10000,100,g,0.4,0.8033
616,10000,100,g,0.45,0.5725
617,10000,100,g,0.5,0.5725
618,10000,100,g,0.55,0.5725
619,10000,100,g,0.6,0.3413
620,10000,100,g,0.65,0.5341
621,10000,100,g,0.7,0.4895
622,10000,100,g,0.75,0.2946
623,10000,100,g,0.8,0.3659
624,10000,100,g,0.85,0.4996
625,10000,100,g,0.9,0.3227
626,10000,100,g,0.95,0.3659
627,10000,200,t,0.05,1.0
628,10000,200,t,0.1,1.0
629,10000,200,t,0.15,1.0
630,10000,200,t,0.2,1.0
631,10000,200,t,0.25,1.0
632,10000,200,t,0.3,1.0
633,10000,200,t,0.35,1.0
634,10000,200,t,0.4,1.0
635,10000,200,t,0.45,1.0
636,10000,200,t,0.5,1.0
637,10000,200,t,0.55,1.0
638,10000,200,t,0.6,1.0
639,10000,200,t,0.65,1.0
640,10000,200,t,0.7,1.0
641,10000,200,t,0.75,1.0
642,10000,200,t,0.8,1.0
643,10000,200,t,0.85,1.0
644,10000,200,t,0.9,1.0
645,10000,200,t,0.95,1.0
646,10000,200,e,0.05,1.0
647,10000,200,e,0.1,1.0
648,10000,200,e,0.15,1.0
649,10000,200,e,0.2,1.0
650,10000,200,e,0.25,1.0
651,10000,200,e,0.3,1.0
652,10000,200,e,0.35,1.0
653,10000,200,e,0.4,1.0
654,10000,200,e,0.45,1.0
655,10000,200,e,0.5,1.0
656,10000,200,e,0.55,1.0
657,10000,200,e,0.6,1.0
658,10000,200,e,0.65,1.0
659,10000,200,e,0.7,1.0
660,10000,200,e,0.75,1.0
661,10000,200,e,0.8,1.0
662,10000,200,e,0.85,0.6
663,10000,200,e,0.9,0.5877
664,10000,200,e,0.95,0.4834
665,10000,200,g,0.05,1.0
666,10000,200,g,0.1,1.0
667,10000,200,g,0.15,1.0
668,10000,200,g,0.2,1.0
669,10000,200,g,0.25,1.0
670,10000,200,g,0.3,1.0
671,10000,200,g,0.35,1.0
672,10000,200,g,0.4,1.0
673,10000,200,g,0.45,1.0
674,10000,200,g,0.5,1.0
675,10000,200,g,0.55,1.0
676,10000,200,g,0.6,1.0
677,10000,200,g,0.65,0.7398
678,10000,200,g,0.7,1.0
679,10000,200,g,0.75,1.0
680,10000,200,g,0.8,0.7895
681,10000,200,g,0.85,0.7729
682,10000,200,g,0.9,0.7429
683,10000,200,g,0.95,0.7693
684,20000,50,t,0.05,1.0
685,20000,50,t,0.1,1.0
686,20000,50,t,0.15,1.0
687,20000,50,t,0.2,1.0
688,20000,50,t,0.25,1.0
689,20000,50,t,0.3,1.0
690,20000,50,t,0.35,1.0
691,20000,50,t,0.4,1.0
692,20000,50,t,0.45,1.0
693,20000,50,t,0.5,0.73215
694,20000,50,t,0.55,0.73215
695,20000,50,t,0.6,0.68655
696,20000,50,t,0.65,0.68655
697,20000,50,t,0.7,0.5456
698,20000,50,t,0.75,0.68655
699,20000,50,t,0.8,0.68655
700,20000,50,t,0.85,0.56345
701,20000,50,t,0.9,0.5456
702,20000,50,t,0.95,0.5456
703,20000,50,e,0.05,1.0
704,20000,50,e,0.1,1.0
705,20000,50,e,0.15,1.0
706,20000,50,e,0.2,1.0
707,20000,50,e,0.25,1.0
708,20000,50,e,0.3,1.0
709,20000,50,e,0.35,1.0
710,20000,50,e,0.4,0.73215
711,20000,50,e,0.45,0.68655
712,20000,50,e,0.5,0.73215
713,20000,50,e,0.55,0.68655
714,20000,50,e,0.6,0.5456
715,20000,50,e,0.65,0.35225
716,20000,50,e,0.7,0.4544
717,20000,50,e,0.75,0.5393
718,20000,50,e,0.8,0.73215
719,20000,50,e,0.85,0.367
720,20000,50,e,0.9,0.43345
721,20000,50,e,0.95,0.49945
722,20000,50,g,0.05,1.0
723,20000,50,g,0.1,1.0
724,20000,50,g,0.15,0.73215
725,20000,50,g,0.2,0.73215
726,20000,50,g,0.25,0.68655
727,20000,50,g,0.3,0.56345
728,20000,50,g,0.35,0.5456
729,20000,50,g,0.4,0.35225
730,20000,50,g,0.45,0.35225
731,20000,50,g,0.5,0.4544
732,20000,50,g,0.55,0.575
733,20000,50,g,0.6,0.5393
734,20000,50,g,0.65,0.73215
735,20000,50,g,0.7,0.73215
736,20000,50,g,0.75,0.575
737,20000,50,g,0.8,0.70985
738,20000,50,g,0.85,0.6923
739,20000,50,g,0.9,0.43345
740,20000,50,g,0.95,0.35225
741,20000,100,t,0.05,1.0
742,20000,100,t,0.1,1.0
743,20000,100,t,0.15,1.0
744,20000,100,t,0.2,1.0
745,20000,100,t,0.25,1.0
746,20000,100,t,0.3,1.0
747,20000,100,t,0.35,1.0
748,20000,100,t,0.4,1.0
749,20000,100,t,0.45,1.0
750,20000,100,t,0.5,1.0
751,20000,100,t,0.55,1.0
752,20000,100,t,0.6,1.0
753,20000,100,t,0.65,1.0
754,20000,100,t,0.7,1.0
755,20000,100,t,0.75,1.0
756,20000,100,t,0.8,1.0
757,20000,100,t,0.85,1.0
758,20000,100,t,0.9,1.0
759,20000,100,t,0.95,1.0
760,20000,100,e,0.05,1.0
761,20000,100,e,0.1,1.0
762,20000,100,e,0.15,1.0
763,20000,100,e,0.2,1.0
764,20000,100,e,0.25,1.0
765,20000,100,e,0.3,1.0
766,20000,100,e,0.35,1.0
767,20000,100,e,0.4,1.0
768,20000,100,e,0.45,1.0
769,20000,100,e,0.5,1.0
770,20000,100,e,0.55,1.0
771,20000,100,e,0.6,1.0
772,20000,100,e,0.65,1.0
773,20000,100,e,0.7,1.0
774,20000,100,e,0.75,1.0
775,20000,100,e,0.8,1.0
776,20000,100,e,0.85,1.0
777,20000,100,e,0.9,0.92875
778,20000,100,e,0.95,0.3206
779,20000,100,g,0.05,1.0
780,20000,100,g,0.1,1.0
781,20000,100,g,0.15,1.0
782,20000,100,g,0.2,1.0
783,20000,100,g,0.25,1.0
784,20000,100,g,0.3,1.0
785,20000,100,g,0.35,1.0
786,20000,100,g,0.4,1.0
787,20000,100,g,0.45,1.0
788,20000,100,g,0.5,1.0
789,20000,100,g,0.55,1.0
790,20000,100,g,0.6,1.0
791,20000,100,g,0.65,1.0
792,20000,100,g,0.7,0.66405
793,20000,100,g,0.75,1.0
794,20000,100,g,0.8,0.83435
795,20000,100,g,0.85,1.0
796,20000,100,g,0.9,0.70865
797,20000,100,g,0.95,0.71995
798,20000,200,t,0.05,1.0
799,20000,200,t,0.1,1.0
800,20000,200,t,0.15,1.0
801,20000,200,t,0.2,1.0
802,20000,200,t,0.25,1.0
