,data size,granules number,relation type,ksi,accuracy
504,5000,200,g,0.55,0.963
505,5000,200,g,0.6,0.944
506,5000,200,g,0.65,0.9462
507,5000,200,g,0.7,0.9478
508,5000,200,g,0.75,0.942
509,5000,200,g,0.8,0.9272
510,5000,200,g,0.85,0.949
511,5000,200,g,0.9,0.9468
512,5000,200,g,0.95,0.9406
513,10000,50,t,0.05,1.0
514,10000,50,t,0.1,1.0
515,10000,50,t,0.15,1.0
516,10000,50,t,0.2,1.0
517,10000,50,t,0.25,1.0
518,10000,50,t,0.3,1.0
519,10000,50,t,0.35,1.0
520,10000,50,t,0.4,1.0
521,10000,50,t,0.45,1.0
522,10000,50,t,0.5,1.0
523,10000,50,t,0.55,1.0
524,10000,50,t,0.6,1.0
525,10000,50,t,0.65,1.0
526,10000,50,t,0.7,1.0
527,10000,50,t,0.75,1.0
528,10000,50,t,0.8,1.0
529,10000,50,t,0.85,1.0
530,10000,50,t,0.9,1.0
531,10000,50,t,0.95,1.0
532,10000,50,e,0.05,1.0
533,10000,50,e,0.1,1.0
534,10000,50,e,0.15,1.0
535,10000,50,e,0.2,1.0
536,10000,50,e,0.25,1.0
537,10000,50,e,0.3,1.0
538,10000,50,e,0.35,1.0
539,10000,50,e,0.4,1.0
540,10000,50,e,0.45,1.0
541,10000,50,e,0.5,1.0
542,10000,50,e,0.55,1.0
543,10000,50,e,0.6,1.0
544,10000,50,e,0.65,1.0
545,10000,50,e,0.7,1.0
546,10000,50,e,0.75,1.0
547,10000,50,e,0.8,1.0
548,10000,50,e,0.85,1.0
549,10000,50,e,0.9,1.0
550,10000,50,e,0.95,1.0
551,10000,50,g,0.05,1.0
552,10000,50,g,0.1,1.0
553,10000,50,g,0.15,1.0
554,10000,50,g,0.2,1.0
555,10000,50,g,0.25,1.0
556,10000,50,g,0.3,1.0
557,10000,50,g,0.35,1.0
558,10000,50,g,0.4,1.0
559,10000,50,g,0.45,1.0
560,10000,50,g,0.5,1.0
561,10000,50,g,0.55,1.0
562,10000,50,g,0.6,1.0
563,10000,50,g,0.65,1.0
564,10000,50,g,0.7,1.0
565,10000,50,g,0.75,1.0
566,10000,50,g,0.8,1.0
567,10000,50,g,0.85,1.0
568,10000,50,g,0.9,1.0
569,10000,50,g,0.95,1.0
570,10000,100,t,0.05,1.0
571,10000,100,t,0.1,1.0
572,10000,100,t,0.15,1.0
573,10000,100,t,0.2,1.0
574,10000,100,t,0.25,1.0
575,10000,100,t,0.3,1.0
576,10000,100,t,0.35,1.0
577,10000,100,t,0.4,1.0
578,10000,100,t,0.45,1.0
579,10000,100,t,0.5,1.0
580,10000,100,t,0.55,1.0
581,10000,100,t,0.6,1.0
582,10000,100,t,0.65,1.0
583,10000,100,t,0.7,1.0
584,10000,100,t,0.75,1.0
585,10000,100,t,0.8,1.0
586,10000,100,t,0.85,1.0
587,10000,100,t,0.9,1.0
588,10000,100,t,0.95,1.0
589,10000,100,e,0.05,1.0
590,10000,100,e,0.1,1.0
591,10000,100,e,0.15,1.0
592,10000,100,e,0.2,1.0
593,10000,100,e,0.25,1.0
594,10000,100,e,0.3,1.0
595,10000,100,e,0.35,1.0
596,10000,100,e,0.4,1.0
597,10000,100,e,0.45,1.0
598,10000,100,e,0.5,1.0
599,10000,100,e,0.55,1.0
600,10000,100,e,0.6,1.0
601,10000,100,e,0.65,1.0
602,10000,100,e,0.7,1.0
603,10000,100,e,0.75,1.0
604,10000,100,e,0.8,1.0
605,10000,100,e,0.85,1.0
606,10000,100,e,0.9,1.0
607,10000,100,e,0.95,1.0
608,10000,100,g,0.05,1.0
609,10000,100,g,0.1,1.0
610,10000,100,g,0.15,1.0
611,10000,100,g,0.2,1.0
612,10000,100,g,0.25,1.0
613,10000,100,g,0.3,1.0
614,10000,100,g,0.35,1.0
615,10000,100,g,0.4,1.0
616,10000,100,g,0.45,1.0
617,10000,100,g,0.5,1.0
618,10000,100,g,0.55,1.0
619,10000,100,g,0.6,1.0
620,10000,100,g,0.65,1.0
621,10000,100,g,0.7,1.0
622,10000,100,g,0.75,1.0
623,10000,100,g,0.8,1.0
624,10000,100,g,0.85,1.0
625,10000,100,g,0.9,1.0
626,10000,100,g,0.95,1.0
627,10000,200,t,0.05,0.9654
628,10000,200,t,0.1,0.9654
629,10000,200,t,0.15,0.9654
630,10000,200,t,0.2,0.9654
631,10000,200,t,0.25,0.9654
632,10000,200,t,0.3,0.9654
633,10000,200,t,0.35,0.9654
634,10000,200,t,0.4,0.9627
635,10000,200,t,0.45,0.9389
636,10000,200,t,0.5,0.9389
637,10000,200,t,0.55,0.9498
638,10000,200,t,0.6,0.9474
639,10000,200,t,0.65,0.949
640,10000,200,t,0.7,0.9446
641,10000,200,t,0.75,0.9474
642,10000,200,t,0.8,0.9446
643,10000,200,t,0.85,0.9382
644,10000,200,t,0.9,0.9474
645,10000,200,t,0.95,0.9474
646,10000,200,e,0.05,0.9654
647,10000,200,e,0.1,0.9654
648,10000,200,e,0.15,0.9654
649,10000,200,e,0.2,0.9627
650,10000,200,e,0.25,0.9654
651,10000,200,e,0.3,0.9389
652,10000,200,e,0.35,0.9389
653,10000,200,e,0.4,0.9498
654,10000,200,e,0.45,0.9474
655,10000,200,e,0.5,0.9474
656,10000,200,e,0.55,0.9446
657,10000,200,e,0.6,0.9474
658,10000,200,e,0.65,0.9492
659,10000,200,e,0.7,0.9492
660,10000,200,e,0.75,0.9346
661,10000,200,e,0.8,0.949
662,10000,200,e,0.85,0.9519
663,10000,200,e,0.9,0.9474
664,10000,200,e,0.95,0.949
665,10000,200,g,0.05,0.9654
666,10000,200,g,0.1,0.943
667,10000,200,g,0.15,0.9498
668,10000,200,g,0.2,0.9465
669,10000,200,g,0.25,0.9498
670,10000,200,g,0.3,0.9382
671,10000,200,g,0.35,0.9474
672,10000,200,g,0.4,0.9486
673,10000,200,g,0.45,0.949
674,10000,200,g,0.5,0.9492
675,10000,200,g,0.55,0.9453
676,10000,200,g,0.6,0.949
677,10000,200,g,0.65,0.9488
678,10000,200,g,0.7,0.9474
679,10000,200,g,0.75,0.9437
680,10000,200,g,0.8,0.949
681,10000,200,g,0.85,0.9422
682,10000,200,g,0.9,0.9422
683,10000,200,g,0.95,0.9473
684,20000,50,t,0.05,0.97985
685,20000,50,t,0.1,0.97985
686,20000,50,t,0.15,0.97985
687,20000,50,t,0.2,0.97985
688,20000,50,t,0.25,0.97985
689,20000,50,t,0.3,0.97985
690,20000,50,t,0.35,0.97985
691,20000,50,t,0.4,0.97985
692,20000,50,t,0.45,0.97985
693,20000,50,t,0.5,0.97985
694,20000,50,t,0.55,0.97985
695,20000,50,t,0.6,0.97985
696,20000,50,t,0.65,0.97985
697,20000,50,t,0.7,0.97985
698,20000,50,t,0.75,0.97985
699,20000,50,t,0.8,0.97985
700,20000,50,t,0.85,0.97985
701,20000,50,t,0.9,0.97985
702,20000,50,t,0.95,0.97985
703,20000,50,e,0.05,0.97985
704,20000,50,e,0.1,0.97985
705,20000,50,e,0.15,0.97985
706,20000,50,e,0.2,0.97985
707,20000,50,e,0.25,0.97985
708,20000,50,e,0.3,0.97985
709,20000,50,e,0.35,0.97985
710,20000,50,e,0.4,0.97985
711,20000,50,e,0.45,0.97985
712,20000,50,e,0.5,0.97985
713,20000,50,e,0.55,0.97985
714,20000,50,e,0.6,0.97985
715,20000,50,e,0.65,0.97985
716,20000,50,e,0.7,0.97985
